online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city
Yes,Yes,4.1,775,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet,Banashankari
Yes,No,4.1,787,Casual Dining,"Chinese, North Indian, Thai",800,Buffet,Banashankari
Yes,No,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Buffet,Banashankari
No,No,3.7,88,Quick Bites,"South Indian, North Indian",300,Buffet,Banashankari
No,No,3.8,166,Casual Dining,"North Indian, Rajasthani",600,Buffet,Banashankari
Yes,No,3.8,286,Casual Dining,North Indian,600,Buffet,Banashankari
No,No,3.6,8,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Buffet,Banashankari
Yes,Yes,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes,Banashankari
Yes,No,4.0,324,Cafe,"Cafe, Italian, Continental",700,Cafes,Banashankari
Yes,No,4.2,504,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Banashankari
Yes,No,4.1,402,Cafe,Cafe,500,Cafes,Banashankari
Yes,Yes,4.2,150,Cafe,"Cafe, Italian, Continental",600,Cafes,Banashankari
Yes,Yes,4.2,164,Cafe,"Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari
No,No,4.0,424,Cafe,"Cafe, Continental",450,Cafes,Banashankari
Yes,No,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes,Banashankari
Yes,No,3.8,90,Cafe,Cafe,650,Cafes,Banashankari
Yes,No,3.9,133,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari
Yes,No,3.8,144,Cafe,"Chinese, Cafe, Italian",700,Cafes,Banashankari
No,No,3.9,93,Cafe,"Cafe, Italian, American",300,Cafes,Banashankari
Yes,No,3.1,13,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari
Yes,No,3.0,62,Cafe,"Cafe, French, North Indian",400,Cafes,Banashankari
Yes,No,3.7,180,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
No,No,3.6,28,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari
Yes,No,3.6,62,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
No,No,3.7,31,Cafe,Cafe,300,Cafes,Banashankari
No,No,3.2,11,Cafe,"Cafe, Bakery",600,Cafes,Banashankari
Yes,No,3.8,75,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari
No,No,3.3,4,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
No,No,3.3,23,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
No,No,3.8,148,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
Yes,No,4.0,219,Cafe,"Cafe, Italian",600,Cafes,Banashankari
Yes,No,2.8,506,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
Yes,No,3.9,35,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Yes,No,3.9,172,Delivery,Pizza,750,Delivery,Banashankari
Yes,No,4.2,415,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Banashankari
Yes,No,3.9,230,Delivery,Biryani,650,Delivery,Banashankari
Yes,No,2.8,91,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
Yes,No,4.2,1647,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari
Yes,No,4.4,4884,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
Yes,No,4.0,17,Quick Bites,South Indian,150,Delivery,Banashankari
Yes,No,3.8,133,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
No,No,3.9,28,Mess,South Indian,300,Delivery,Banashankari
Yes,No,3.9,286,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari
Yes,No,3.9,540,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari
Yes,Yes,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Banashankari
No,No,3.8,36,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari
Yes,No,3.6,244,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Yes,No,4.0,804,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
Yes,No,3.7,679,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari
Yes,No,3.1,245,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
No,No,3.7,21,Quick Bites,North Indian,450,Delivery,Banashankari
Yes,No,4.1,28,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
No,No,4.3,345,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
Yes,No,4.0,618,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
No,No,4.0,1047,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
Yes,No,3.9,627,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
Yes,No,3.8,104,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari
Yes,Yes,4.2,354,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
No,No,3.6,55,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari
Yes,No,3.7,17,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari
No,No,4.2,244,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,Banashankari
Yes,Yes,3.6,163,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
Yes,No,3.8,58,Quick Bites,Chinese,150,Delivery,Banashankari
No,Yes,4.0,808,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
No,No,3.7,78,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari
Yes,No,4.1,1720,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
